name,freereturns,items_sold,item_status,shipping_price,item_price
New Stylish Electric Guitar W/ Bag & 20W AMP Red,True,,Brand New,0,7498
"New Listing53DB Electric Guitar (Cherry Sunburst, Maple Fingerboard)",False,,Brand New,,44999
New ListingGrote Jazz Electric Guitar with Semi-Hollow Body Blue 250407-A1,False,,Pre-Owned,0,999
New Listing Telecaster  guitar ,False,,Pre-Owned,3179,24000
🎸 Donner DJC-1000 Jazz Tele Electric Guitar Solid Body H-H Pickups With Gig Bag,True,82 sold,Brand New,0,12640
Glarry Electric Guitar GST 6 Strings Rosewood Fingerboard Right Handed Student,True,87 sold,Brand New,0,5849
BRAND NEW JAZZMASTER-STYLE BARITONE LONG SCALE ELECTRIC GUITAR WITH GIG BAG,True,34 sold,Brand New,0,22500
New ListingVintage ReIssued Series V6M Electric Guitar - Natural Ash - Open Box,False,,Open Box,0,45999
Grote LPS-023 Matte Finished Electric Guitar with P-90 Pickups,False,,Brand New,0,15900
NEW DOUBLE NECK BASS/GUITAR 4/6 STRING VINTAGE STYLE ELECTRIC GUITAR & HARD CASE,True,127 sold,Brand New,0,39500
New ListingLIMITED TIME OFFER Vintage Red&Yellow Grid LP Electric Guitar Relics by hands US,False,,Brand New,2000,19700
"Kids 30 Inch Electric Guitar Combo, Built-in Amp, Solid Wood Body, Color: Red",True,,Brand New,0,6998
Electric Guitar Vintage 6 Strings Roasted Maple Neck with Strap Free Shipping,False,,Open Box,0,24400
IN STOCK special shape 325 jazz electric guitar 20 frets chrome hardware from US,False,,Brand New,2000,23310
Full Size 39'' Black Electric Guitar & Amp Case Accessories Beginner Starter,True,331 sold,Brand New,0,9358
SE Electric Guitar Mahogany Solid Body with Maple Top 24 Fret PRS Fast Shipping,False,,Brand New,0,25956
US Warehouse Black Ouija Electric Guitar Floyd Rose Mahogany Solid Body 6-String,False,,Brand New,0,23900
New ListingElectric Guitar Epiphone Supernova Oasis Noel Gallagher MCFC Blue Semi Hollow,True,,Pre-Owned,2999,99999
"Glarry 39 Inch Full Size Electric Guitar Kit Solid Body with Amplifier, Bag",True,,Brand New,0,7898
"Glarry 39"" Full Size Electric Guitar for Music Lover Beginner with 20W Amp White",True,,Brand New,0,7984
New ListingEpiphone Les Paul,False,,Pre-Owned,5000,55000
Solid Red Electric Guitar 2-P90 Pickups Maple Neck Basswood Body 22 Frets,False,,Brand New,0,23655
Hot New Electric Guitar Silver Super Cool Cracked Mirror with Beautiful Sound,False,,Brand New,0,29742
Custom LP Gloss Red Flame Maple Top Electric Guitar Mahogany Body 6 Strings,False,,Brand New,0,25110
New ListingLP Electric Guitar Rosewood fingerboard flame maple top fast shipp US Warehouse,False,,Brand New,0,23900
Glarry Basswood Electric Guitar Kit 6 Strings Right Handed With Bag White,False,77 sold,Brand New,0,5998
Custom ST Sunburst Relic Vintage Electric Guitar SSS Pickups Dot Inlay 6 String,False,,Brand New,0,24570
6 string black electric guitar black P90 pickup rosewood fingerboard 22 Frets,False,,Brand New,2000,29970
Customized BC Black Ironbird Electric Guitar Fixed Birdge H Pickup Glossy Finish,False,,Brand New,,23941
Vintage Sunburst Firebird Electric Guitar Solid Body H-H-H Pickups HPL Fretboard,False,,Brand New,0,33400
【NEW】 Jersey Star Series Electric Guitar - Basswood Body/22 Frets w/ Gold Parts,True,,Brand New,2500,20680
Cream EET FUK Electric Guitar James Hetfield Mahogany Body Rosewood Fretboard,False,,Brand New,0,25727
Custom 50th Anniversary Pop Festival Jimi Hendrix Monterey ST Electric Guitar,False,,Brand New,,22846
New ListingDonner DST-100 Electric Guitar Amplifier Beginner Set Solid Body H-S-S Pickup,True,,Certified - Refurbished,0,99
"Main Street MEDCAF Strat Style Double Cutaway Electric Guitar, American Flag",False,,Brand New,0,20999
"New Listing6-String RD-100 Electric Guitar, Semi-Hollow, F-Holes, Brown - Model 30096",False,,Open Box,0,99
New ListingESP STYLE ELECTRIC GUITAR w/ HARD SHELL CASE & ACCESSORIES !!!,False,,Brand New,0,26500
US Warehouse LP Electric Guitar FR Bridge Black Pickguard Flame Maple Top,False,,Brand New,0,23900
US warehouse ST Electric Guitar Yellow Maple Neck White Pickguard 3S Pickup,False,,Brand New,0,19900
New ListingMetallic Black Explorer Electric Guitar Gold Hardware Mahogany Body HH Pickups,False,,Brand New,0,28600
DEAN GUITARS - DOYLE VON FRANKENSTEIN / THE MISFITS  ANNIHILATOR X   / BLACK SA,False,13 sold,Brand New,0,59999
DIY Electric Guitar Kit build on own Flying V HH pickups style 22fret 24.75inch,True,20 sold,Brand New,0,15890
Hot Sale Pink Cat ST Electric Guitar Basswood Body Maple Neck Hardtail Bridge🔥,True,,Brand New,0,18525
US Warehouse White Iceman Electric Guitar Gold Hardware Maple Neck 2H Pickups,False,,Brand New,0,26800
"39"" Full Size Black Electric Guitar with Amp,Case,Accessories Pack Beginner",True,849 sold,Brand New,0,9358
"New ListingLPYS-006 6-String Electric Guitar, Solid Body, Classic Style Red Color",False,,Brand New,0,20900
US warehouse handed relics Electric guitar alder body rock fast delivery,False,,Brand New,1500,21249
Tele Electric Guitar Double Binding Rosewood Fretboard Mahogany Body 6 Strings,True,,Brand New,0,20800
Dragon Inlay Gold Wrap Electric Guitar Solid Body Dragon 2000 Mahogany Body ,False,,Brand New,0,31500
New ListingIbanez Gio GRGM21M - Blue Burst,True,,Very Good - Refurbished,0,14959
IN STOCK Les Paul Custom Electric Solid body Guitar Alpine White gold hardware,False,,Brand New,2000,18540
"New ListingLPYS-006 6-String Electric Guitar, Solid Body, Classic Style VS Color",False,,Brand New,0,20900
"New ListingLPYS-006 6-String Electric Guitar, Solid Body, Classic Style Blue Color",False,,Brand New,0,20900
New ListingUSA Relic Electric Guitar Road Worn Black by Nate's Relic Guitars,False,,Brand New,8500,93500
New Custom LP Black Electric Guitar  HHH pickup high-quality Mahogany body,False,,Brand New,0,21000
"New ListingLPYS-006 6-String Electric Guitar, Solid Body, Classic Style Purple Color",False,,Brand New,0,20900
New ListingHot Sale Flamed Maple Top Transparent Blue Electric Guitar Black Hardware,False,,Brand New,0,34300
Randy Rhoads Flying V Electric Guitar Black&White Polka Dots Rosewood Fretboard,False,29 sold,Brand New,4000,24310
